Component,x,y,z,Fx,Fy,Fz
main_wing_left,0.0,-0.49980725706095164,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4982671122456631,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4951963181200223,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4906138071509565,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4845478320424296,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.47703579154812714,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4681239998957032,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4578674012441667,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4463292309348692,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4335806256245988,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4197001847044346,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.4047734857083646,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.3888925566993302,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.3721553088856175,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.3546649329656972,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.33652926292325613,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.31786011119482804,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.2987725793089417,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.27938434824692193,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.25981495290050727,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.24018504509949262,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.22061564975307793,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.20122741869105823,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.18213988680517185,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.1634707350767438,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.14533506503430269,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.1278446891143825,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
main_wing_left,0.0,-0.11110744130066964,0.0,-2.0221561591048785e-05,5.527007780551151e-08,-3.4028693528209186e-05
