26.25,-7.79625,152.4
35,-8.3685,152.4
43.75,-8.666,152.4
52.5,-8.7535,152.4
70,-8.46475,152.4
87.5,-7.721,152.4
105,-6.65525,152.4
122.5,-5.34275,152.4
140,-3.82725,152.4
157.5,-2.11225,152.4
166.25,-1.176,152.4
175,-0.18375,152.4
