Span Fraction Left,Cp Left,Span Fraction Right,Cp Right
0.9996145181203615,0.0028595455135180187,0.0003854818796385495,0.08898909792621362
0.9965342284774632,0.008544063534169144,0.0034657715225368535,0.08898875659817686
0.9903926402016152,0.01414403186440659,0.009607359798384785,0.08898604899787456
0.9812276182268236,0.019621840976785418,0.01877238177317636,0.0889769811775043
0.969095667961242,0.024947206415967038,0.03090433203875792,0.08895571403731857
0.9540715869125407,0.030095512903061557,0.045928413087459374,0.08891472959568905
0.9362480035363985,0.03504689629970326,0.06375199646360141,0.0888450359645316
0.9157348061512727,0.0397856098165167,0.08426519384872738,0.08873639711685694
0.8926584654403724,0.04429952719184546,0.10734153455962753,0.08857757437951322
0.8671612547178428,0.0485797227249302,0.13283874528215722,0.08835656751290565
0.8394003727664707,0.05262010057734802,0.1605996272335291,0.08806084508545634
0.8095469746549171,0.056417060308998054,0.19045302534508302,0.08767755629016316
0.777785116509801,0.05996919318064941,0.22221488349019886,0.0871937190371789
0.7443106207484775,0.06327700784870435,0.2556893792515225,0.08659638178932344
0.709329868768714,0.0663426858082842,0.29067013123128593,0.08587275896469548
0.6730585285387465,0.06916986697332349,0.3269414714612535,0.08501034167575028
0.6357202249325371,0.07176346490450862,0.36427977506746284,0.08399698705118615
0.5975451610080641,0.07412951013519489,0.40245483899193585,0.08282099040214347
0.5587686987289188,0.07627501920472504,0.4412313012710811,0.0814711450960772
0.5196299078795342,0.07820788645379802,0.48037009212046566,0.07993679526240155
0.48037009212046566,0.0799367952624012,0.5196299078795342,0.07820788645379705
0.4412313012710811,0.08147114509607724,0.5587686987289188,0.07627501920472508
0.40245483899193585,0.0828209904021433,0.5975451610080641,0.07412951013519531
0.36427977506746284,0.08399698705118615,0.6357202249325371,0.07176346490450948
0.3269414714612535,0.08501034167575038,0.6730585285387465,0.06916986697332356
0.29067013123128593,0.08587275896469557,0.709329868768714,0.06634268580828409
0.2556893792515225,0.08659638178932245,0.7443106207484775,0.06327700784870384
0.22221488349019886,0.08719371903717865,0.777785116509801,0.05996919318064971
0.19045302534508302,0.08767755629016379,0.8095469746549171,0.05641706030899821
0.1605996272335291,0.08806084508545639,0.8394003727664707,0.05262010057734805
0.13283874528215722,0.08835656751290541,0.8671612547178428,0.04857972272493024
0.10734153455962753,0.08857757437951272,0.8926584654403724,0.044299527191845114
0.08426519384872738,0.08873639711685766,0.9157348061512727,0.039785609816516486
0.06375199646360141,0.08884503596453135,0.9362480035363985,0.03504689629970356
0.045928413087459374,0.0889147295956864,0.9540715869125407,0.03009551290306145
0.03090433203875792,0.08895571403731684,0.969095667961242,0.024947206415966646
0.01877238177317636,0.08897698117750429,0.9812276182268236,0.019621840976785244
0.009607359798384785,0.0889860489978729,0.9903926402016152,0.014144031864406938
0.0034657715225368535,0.08898875659817686,0.9965342284774632,0.00854406353416945
0.0003854818796385495,0.08898909792620806,0.9996145181203615,0.0028595455135182785
